Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,257.5,257.5
2.,Thiesse/Dropkin,Minnesota,212.2,212.2
3.,Skaslien/Nedregotten,Norway,186.7,186.7
4.,Westman/Ahlberg,Sweden,179.6,179.6
5.,Kim/Jeong,Korea,179.3,179.3
6.,Koana/Aoki,Japan,166.8,166.8
7.,Ford/Campbell,Ontario,150.3,150.3
8.,Ye/Yu,China,150.1,150.1
9.,Wrana/Wrana,Sweden,142.7,142.7
10.,Gray-Withers/Pietrangelo,Alberta,139.4,139.4
11.,Zelingrova/Chabicovsky,Czechia,136.5,136.5
12.,Dodds/Mouat,Great Britain,131.8,131.8
13.,Perret/Rios,Switzerland,118.4,118.4
14.,Constantini/Mosaner,Italy,115.6,115.6
15.,Kaldvee/Lill,Estonia,114.8,114.8
16.,Neil/McDonald,Ontario,112.9,112.9
17.,Lott/Lott,Manitoba,105.9,105.9
18.,Sanscartier/Caron,Quebec,102.5,102.5
19.,Matsumura/Tanida,Japan,99.8,99.8
20.,McMillan/Bryce,Scotland,92.3,92.3
21.,Kjaerland/Braenden,Norway,90.8,90.8
22.,Adams/Robichaud,New Brunswick,90.7,90.7
23.,Weeks/Steep,Ontario,88.6,88.6
24.,Craig/Craig,Ontario,83.9,83.9
25.,Han/Yu,China,83.3,83.3
26.,Cinnamon/Tao,Alberta,82.5,82.5
27.,Brunton/Forget,Ontario,78.6,78.6
28.,Peterman/Gallant,Alberta,78.2,78.2
29.,Walczak/Augustyniak,Poland,76.9,76.9
30.,Gionest/Desjardins,Quebec,75.5,75.5
31.,Schwaller/Schwaller,Switzerland,75.3,75.3
32.,Fenson/Stopera,Minnesota,71.8,71.8
33.,Smith/Niepage,Ontario,68.7,68.7
34.,Zhang/Wang,China,64.5,64.5
35.,Jones/Laing,Ontario,62.9,62.9
36.,Mallett/Jackson,Ontario,58.7,58.7
37.,Smith/Smith,New Zealand,58.2,58.2
38.,Schoell/Sutor,Germany,57.8,57.8
39.,Tremblay/Lanoue,Quebec,57.5,57.5
40.,Woo/Wenzek,British Columbia,55.8,55.8
41.,Cave/King,Ontario,55.3,55.3
42.,Martin/Laycock,Saskatchewan,54.9,54.9
43.,Spruit/Spruit,Ontario,52.9,52.9
44.,Watson/Beland,New Brunswick,52.6,52.6
45.,Maheux/Maheux,Quebec,52.4,52.4
46.,Engler/Wunderlin,Switzerland,51.7,51.7
47.,Nathan/Nathan,Ontario,50.3,50.3
48.,Udvardi-Palancsa/Tatar,Hungary,49.7,49.7
49.,Klimova/Klima,Czechia,49.2,49.2
50.,Barbarin/Coulot,France,49.0,49.0
51.,Immonen/Sipila,Finland,47.9,47.9
52.,Senneker/Visnich,Michigan,47.6,47.6
53.,Gaidule/Buncis,Latvia,45.6,45.6
54.,Bouchard/Charest,Quebec,45.0,45.0
55.,Kim/Yoo,Korea,44.0,44.0
56.,Davie/Watt,Scotland,43.5,43.5
57.,Wasylkiw/Konings,Ontario,41.8,41.8
58.,Homan/Bottcher,Alberta,41.7,41.7
59.,Roenning/Buraas,Denmark,41.5,41.5
60.,Powers/Saunders,Nova Scotia,41.3,41.3
61.,Berset/Hoesli,Switzerland,40.9,40.9
62.,Kawleski/Kauffman,North Dakota,40.4,40.4
63.,Wilson/Dow,Ontario,40.4,40.4
64.,Bomas/Gosgens,Netherlands,38.1,38.1
65.,Feldkamp/Villard,Ontario,37.6,37.6
66.,Forster/Forster,Ontario,36.8,36.8
67.,Lee/Kim,Korea,36.0,36.0
68.,Abbes/Harsch,Germany,35.4,35.4
69.,Moores/Wheeler,Colorado,33.3,33.3
70.,Kim/Jeong,Korea,32.0,32.0
71.,Sutor/Totzek,Germany,31.5,31.5
72.,Fleming/Bestland,Minnesota,30.4,30.4
73.,Laurie/Brewster,Scotland,29.4,29.4
74.,Sengul/Cakir,Turkiye,29.4,29.4
75.,Ideson/Henry,Ontario,27.5,27.5
76.,Walker/Muyres,Alberta,27.3,27.3
77.,Cheal/Cheal,Quebec,27.0,27.0
78.,Bailey/Sipura,Ontario,26.6,26.6
79.,Butler/Butler,Ontario,26.4,26.4
80.,Gagne/Morissette,Quebec,26.4,26.4
81.,Ryhorchuk/Peterson,Alberta,26.1,26.1
82.,Hagenbuch/Laufer,Illinois,26.0,26.0
83.,Marchand/Charbonneau,Quebec,25.6,25.6
84.,Loken/Tanaka,British Columbia,25.2,25.2
85.,Park/Kim,Korea,24.0,24.0
86.,Kim/Kim,Korea,24.0,24.0
87.,Shim/Park,Korea,24.0,24.0
88.,Kim/Lee,Korea,24.0,24.0
89.,Coleman/Robertson,California,23.9,23.9
90.,Burghout/Thompson,Ontario,23.7,23.7
91.,Cihlarova/Macek,Czechia,22.8,22.8
92.,Thunman/Granbom,Sweden,22.5,22.5
93.,Campbell/Carr,New Brunswick,22.3,22.3
94.,Hueppi/Weiss,Switzerland,21.5,21.5
95.,Tonoli/Hoekman,Netherlands,21.4,21.4
96.,Ueno/Yamaguchi,Japan,21.3,21.3
97.,Ford/Krowchuk,Ontario,21.3,21.3
98.,Schmidt/Schmidt,Denmark,20.9,20.9
