Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,191.5,191.5
2.,Gill/Hewitt,Australia,162.3,162.3
3.,Skaslien/Nedregotten,Norway,159.4,159.4
4.,Koana/Aoki,Japan,129.6,129.6
5.,Peterman/Gallant,Alberta,127.5,127.5
6.,Lott/Lott,Manitoba,126.0,126.0
7.,Walker/Muyres,Alberta,125.0,125.0
8.,Dodds/Mouat,Great Britain,122.7,122.7
9.,Martin/Laycock,Saskatchewan,116.4,116.4
10.,Jones/Laing,Ontario,116.3,116.3
11.,Matsumura/Tanida,Japan,115.6,115.6
12.,Homan/Bottcher,Alberta,115.1,115.1
13.,Sandham/Craig,Ontario,96.3,96.3
14.,Perret/Rios,Switzerland,94.5,94.5
15.,Powers/Saunders,Nova Scotia,92.5,92.5
16.,Roenning/Braenden,Norway,90.6,90.6
17.,Adams/Robichaud,New Brunswick,88.8,88.8
18.,Weagle/Epping,Ontario,88.3,88.3
19.,Thiesse/Dropkin,Minnesota,86.6,86.6
20.,Wasylkiw/Konings,Ontario,86.5,86.5
21.,Paetz/Michel,Switzerland,86.1,86.1
22.,Zheng/Pietrangelo,Ontario,86.0,86.0
23.,Jackson/McFadzean,Great Britain,79.8,79.8
24.,Abbes/Harsch,Germany,79.5,79.5
25.,Engler/Wunderlin,Switzerland,78.5,78.5
26.,Anderson/Stopera,Minnesota,78.0,78.0
27.,Tran/Kleiter,Alberta,75.8,75.8
28.,Gionest/Desjardins,Quebec,70.3,70.3
29.,Morrison/Lammie,Great Britain,69.1,69.1
30.,Brunton/Horgan,Ontario,66.9,66.9
31.,Neil/McDonald,Ontario,62.6,62.6
32.,Bear/Oldenburg,Minnesota,62.0,62.0
33.,Tremblay/Lanoue,Quebec,60.4,60.4
34.,Ford/Campbell,Ontario,59.5,59.5
35.,Smith/Thomson,Ontario,58.9,58.9
36.,Sluchinski/Sluchinski,Alberta,57.0,57.0
37.,Wrana/Wrana,Sweden,57.0,57.0
38.,Cotter/Cotter,British Columbia,56.6,56.6
39.,Armstrong/Griffith,British Columbia,56.5,56.5
40.,Gagne/Morissette,Quebec,53.0,53.0
41.,Walczak/Augustyniak,Poland,52.5,52.5
42.,Bouchard/Charest,Quebec,50.4,50.4
43.,Westman/Ahlberg,Sweden,50.3,50.3
44.,Anderson-Heide/Richardson,Minnesota,49.8,49.8
45.,Papley/Van Amsterdam,Alberta,49.4,49.4
46.,Han/Wang,China,47.6,47.6
47.,Hasselborg/Eriksson,Sweden,47.3,47.3
48.,Zelingrova/Chabicovsky,Czechia,45.8,45.8
49.,Riley/Mullen,Quebec,43.1,43.1
50.,Spruit/Spruit,Ontario,43.0,43.0
51.,Sinclair/Brydone,Scotland,41.3,41.3
52.,Holterman/Holtermann,Denmark,39.8,39.8
53.,Daly/Violette,Minnesota,38.4,38.4
54.,Kim/Seong,Korea,38.1,38.1
55.,Gamble/Kalthoff,Saskatchewan,37.3,37.3
56.,Paulova/Paul,Czechia,36.1,36.1
57.,Springer/Springer,Saskatchewan,36.0,36.0
58.,Hamilton/Hamilton,Wisconsin,35.3,35.3
59.,Arbuckle/Macdonell,Manitoba,34.9,34.9
60.,Yang/Tian,China,34.3,34.3
61.,Moores/Wheeler,Colorado,33.7,33.7
62.,Weeks/Steep,Ontario,33.6,33.6
63.,Just/Cherpin,Saskatchewan,32.9,32.9
64.,Henderson/Hardie,Great Britain,32.3,32.3
65.,Oestgaard/Eriksen,Norway,32.1,32.1
66.,Mackenzie/Middleton,British Columbia,32.1,32.1
67.,Fellmann/Kovalchuk,Quebec,32.0,32.0
68.,Otaegi/Unanue,Spain,31.6,31.6
69.,Laplante/Gibeau,Quebec,31.4,31.4
70.,Tiuliakova/Totzek,Germany,31.0,31.0
71.,Bailey/Sipura,Ontario,30.4,30.4
72.,Maheux/Maheux,Quebec,30.3,30.3
73.,Wiseman/Smith,Newfoundland / Labrador,30.0,30.0
74.,Yildiz/Cakir,Turkiye,28.7,28.7
75.,Woo/Wenzek,British Columbia,28.5,28.5
76.,Parmiter/Burgess,New Brunswick,28.1,28.1
77.,McGovern/Nathan,Ontario,26.5,26.5
78.,Dong/Fei,China,25.9,25.9
79.,Immonen/Sipila,Finland,25.4,25.4
80.,Berset/Hoesli,Switzerland,24.8,24.8
81.,Reese-Hansen/Chester,British Columbia,24.4,24.4
82.,Roach/Gilbert,Ontario,23.8,23.8
83.,Gaidule/Buncis,Latvia,23.5,23.5
84.,Davie/Watt,Scotland,23.4,23.4
85.,McMillan/Bryce,Scotland,23.4,23.4
86.,Schwaller/Schwaller,Switzerland,23.3,23.3
87.,Weldon/Franey,Colorado,21.8,21.8
88.,Sanscartier/Caron,Quebec,21.5,21.5
89.,Ford/Krowchuk,Ontario,21.2,21.2
90.,Burghout/Thompson,Ontario,21.0,21.0
91.,Lipinska/Stych,Poland,19.5,19.5
92.,Ouellet/Rousseau,Quebec,19.3,19.3
93.,Baker/Lott,Manitoba,19.0,19.0
94.,Roth/Nernberger,Wisconsin,18.8,18.8
95.,Smith/Smith,New Zealand,17.8,17.8
96.,Munro/Whyte,Great Britain,17.4,17.4
97.,Henry/Gordon,Manitoba,17.3,17.3
98.,Lyburn/Lyburn,Manitoba,17.3,17.3
99.,de Val/Magnusson,Sweden,16.5,16.5
100.,Cottenoir/Martel,Quebec,16.3,16.3
101.,Kitazawa/Usui,Japan,15.8,15.8
102.,Kiemele/Singer,Ontario,15.6,15.6
103.,Sweeting/Kennedy,Alberta,15.0,15.0
104.,Schmidt/Schmidt,Denmark,15.0,15.0
105.,Scalesse/Pimpini,Italy,15.0,15.0
106.,Sturmay/Kleibrink,Alberta,14.8,14.8
107.,Heggestad/Heggestad,Ontario,14.3,14.3
108.,Butler/Butler,Ontario,14.1,14.1
109.,Nordbye/Hostmaelingen,Norway,14.0,14.0
110.,Suuripaa/Rantamaki,Finland,13.7,13.7
111.,Mulville/Hale,Ontario,13.5,13.5
112.,DiBaggio/Visnich,Ohio,13.5,13.5
113.,Cheal/Cheal,Quebec,13.5,13.5
114.,Geving/Shuster,Minnesota,13.5,13.5
115.,Mallett/Jackson,Ontario,12.2,12.2
116.,Schoell/Sutor,Germany,11.9,11.9
117.,Kjaerland/Lilleboe,Norway,11.5,11.5
118.,Lang/Lang,Saskatchewan,11.4,11.4
119.,Podoll/Parry,North Dakota,11.3,11.3
120.,White/White,Prince Edward Island,11.3,11.3
121.,Jackson/McCrady,British Columbia,11.3,11.3
122.,St-Georges/Asselin,Quebec,11.0,11.0
123.,Madisson/Kukner,Estonia,11.0,11.0
124.,Kreviazuk/Mathers,Ontario,10.6,10.6
125.,Raniseth/Crough,Alberta,10.5,10.5
126.,Kaare/Padama,Estonia,10.5,10.5
127.,Gargul/Girard,Quebec,10.1,10.1
128.,McGillivray/Cowan,British Columbia,10.1,10.1
129.,Gargul/Girard,Montreal,10.1,10.1
130.,Liscumb/Liscumb,Ontario,10.1,10.1
131.,Scebbi/Scebbi,Ohio,10.1,10.1
132.,Beaulieu/Pelletier,Quebec,10.1,10.1
133.,Zardini Lacedelli/De Zanna,Italy,10.0,10.0
134.,Roenning/Daehlin,Norway,9.9,9.9
135.,Lamontagne/LaMontagne,Saskatchewan,9.8,9.8
136.,Wendling/Paral,Wisconsin,9.4,9.4
137.,Wynter/Sallaj,New Brunswick,9.3,9.3
138.,Skrlik/Harty,Alberta,9.0,9.0
139.,Billo/Martin,Quebec,9.0,9.0
140.,Mueller/Seiwald,Austria,8.8,8.8
141.,Hussain/Husain,Guyana,8.8,8.8
142.,Mitchell/Johnston,Scotland,8.3,8.3
143.,Wilson/Dow,Ontario,8.1,8.1
144.,Cinnamon/Davies,Alberta,8.0,8.0
145.,Novikova/Jakobson,Estonia,8.0,8.0
146.,Forbregd/Harstad,Norway,7.9,7.9
147.,Barber/Heidt,Saskatchewan,7.9,7.9
148.,Tanaka/Sato,Japan,7.9,7.9
149.,Hauser/Sommervold,Norway,7.9,7.9
150.,Feldkamp/Villard,Ontario,7.5,7.5
151.,Robertson/Robertson,Ontario,7.5,7.5
152.,Armstrong/Woods,Ontario,7.5,7.5
153.,McCutcheon/Duizer,Ontario,7.5,7.5
154.,Holt/Brenden,North Dakota,7.5,7.5
155.,Gates/Montpellier,Northern Ontario,7.5,7.5
156.,Neary/Hancock,Newfoundland / Labrador,7.5,7.5
157.,Kononenko/Shchur,Ukraine,7.5,7.5
158.,McGillivray/Croteau,British Columbia,7.3,7.3
159.,Kalk/MacAlpine,Alberta,7.3,7.3
160.,Sykorova/Sykora,Slovakia,7.0,7.0
161.,Nilsson/Olofsson,Sweden,7.0,7.0
162.,Tian/Tian,China,6.9,6.9
163.,Senneker/Gleaton,Michigan,6.9,6.9
164.,Turbow/Kot,Colorado,6.8,6.8
165.,Farkova/Jakl,Czechia,6.8,6.8
166.,Paquette/Daoust,Northern Ontario,6.7,6.7
167.,Chou/Liu,Chinese Taipei,6.6,6.6
168.,Kraft/Kraft,North Dakota,6.4,6.4
169.,Nickel/Nickel,Wisconsin,6.4,6.4
170.,Dudt/Dudt,Pennsylvania,6.4,6.4
171.,Hagenbuch/Laufer,Illinois,6.4,6.4
172.,Godin/Charbonneau,Quebec,6.4,6.4
173.,Johnson/Podhradsky,Minnesota,6.3,6.3
174.,Mallett/Meister,British Columbia,6.2,6.2
175.,Trembath/Grassie,Manitoba,6.0,6.0
176.,Chao/Fowler,Illinois,6.0,6.0
177.,Farwell/Rose,Colorado,6.0,6.0
178.,Tonoli/Gosgens,Netherlands,6.0,6.0
179.,Lee/Jang,Korea,6.0,6.0
180.,Wiksten/Wiksten,Denmark,6.0,6.0
181.,Damen/Van Amsterdam,Alberta,5.7,5.7
182.,Kalocsai-van Dorp/Kalocsay,Hungary,5.6,5.6
183.,Ostrowski/Botterill,Minnesota,5.4,5.4
184.,Workin/Workin,North Dakota,5.4,5.4
185.,Richards/Tao,Alberta,5.4,5.4
186.,Dubberstein/Malvar,Philippines,5.3,5.3
187.,Mayra/Kirby,Michigan,5.3,5.3
188.,Kashiwagi/Nisato,Japan,5.3,5.3
189.,Dubberstein/Malvar,Philippines,5.3,5.3
190.,Hung/Chang,Hong Kong,5.3,5.3
191.,Ueno/Yamaguchi,Japan,5.3,5.3
192.,Johnston/Johnston,New Brunswick,5.1,5.1
193.,Brissette/Fadden,British Columbia,5.1,5.1
194.,Munroe/Leong,Alberta,5.1,5.1
195.,Headley/Headley,Ontario,5.1,5.1
196.,Martins Ethier/Santos,Portugal,5.0,5.0
197.,Forget/Robert,Ontario,5.0,5.0
198.,Ozeki/Aoki,Japan,4.8,4.8
199.,Johnson/Hebert,Minnesota,4.8,4.8
200.,Schweitzer/Hagberg,Minnesota,4.7,4.7
201.,Peebo/Andre,Estonia,4.7,4.7
202.,Joo/Karasz,Hungary,4.7,4.7
203.,Fountain/Fountain,Colorado,4.5,4.5
204.,Cull/Garand,Quebec,4.5,4.5
205.,Ouimet/Ouimet,Ontario,4.5,4.5
206.,Smith/Bonin-Ducharme,Ontario,4.5,4.5
207.,Vilandt/Jensen,Denmark,4.5,4.5
208.,Jensen/Deng,British Columbia,4.5,4.5
209.,Szurmay/Ferenci,Hungary,4.4,4.4
210.,Tanguay/Robichaud,Quebec,4.3,4.3
211.,Gourianova/Vidaurrazaga,Massachusetts,4.3,4.3
212.,Wisniewski-Starkell/Wills,Saskatchewan,4.3,4.3
213.,Constantini/Zisa,Italy,4.3,4.3
214.,Sasseville/Hudon,Quebec,4.1,4.1
215.,Cihlarova/Macek,Czechia,4.1,4.1
216.,Duff/Craik,Scotland,4.1,4.1
217.,Hausstatter/Svorkmo-Lundberg,Norway,4.1,4.1
218.,Paisley/Spielman,Wisconsin,4.0,4.0
219.,Farrell/Thurston,Minnesota,4.0,4.0
220.,Stella/Carle,Colorado,3.9,3.9
221.,Onodera/Maeda,Japan,3.9,3.9
222.,Funaki/Kamada,Japan,3.9,3.9
223.,Roy/Sonier,Quebec,3.9,3.9
224.,Strouse/Fenner,Michigan,3.8,3.8
225.,Persinger/Casper,Alaska,3.8,3.8
226.,Wahlin/Nygren,Sweden,3.8,3.8
227.,Rivett/Rivett,Quebec,3.8,3.8
228.,Smith/Mosher,Nova Scotia,3.8,3.8
229.,Bookhout/Wiza,Wisconsin,3.6,3.6
230.,Hueppi/Weiss,Switzerland,3.6,3.6
231.,Belway/Belway,British Columbia,3.4,3.4
232.,Rychiger/Gloor,Switzerland,3.4,3.4
233.,Barclay/Hanson,New Brunswick,3.4,3.4
234.,Myers/Lerner,Illinois,3.4,3.4
235.,Kawleski/Kauffman,Minnesota,3.4,3.4
236.,Nilhamn/Kuosmanen,Finland,3.4,3.4
237.,Smith/Hood,New Zealand,3.3,3.3
238.,Santti/Santti,Finland,3.2,3.2
239.,Pifer/Pifer,North Carolina,3.1,3.1
240.,Waltenberger/Jaeger,Germany,3.0,3.0
241.,Jurkute/Rymeikis,Lithuania,3.0,3.0
242.,Englot/Schneider,Saskatchewan,3.0,3.0
243.,Stolt/Stolt,Minnesota,3.0,3.0
244.,Gregori/Langus,Slovenia,3.0,3.0
245.,Kuzyk/Gamble,Saskatchewan,3.0,3.0
246.,Barron/Wilson,Ireland,3.0,3.0
247.,Yachiw-Omelian/Raymond,Saskatchewan,3.0,3.0
248.,Turmann/Kalvik,Estonia,3.0,3.0
249.,Rhyme/Smith,Minnesota,2.8,2.8
250.,Fisher/Kolomaya,British Columbia,2.8,2.8
251.,Bush/Philips,Pennsylvania,2.8,2.8
252.,Barone/Zass,Latvia,2.8,2.8
253.,Moberg/Moberg,Sweden,2.8,2.8
254.,Gale Seixeiro/Seixeiro,British Columbia,2.7,2.7
255.,Moskalenko/Suhak,Ukraine,2.6,2.6
256.,Tomabechi/Tomabechi,Japan,2.6,2.6
257.,Tsuruga/Abe,Japan,2.6,2.6
258.,Rykove/Rykov,Lithuania,2.6,2.6
259.,Wheatcroft/Naugler,Alberta,2.6,2.6
260.,Hara/Niino,Japan,2.6,2.6
261.,Nordbye/Hostmaelingen,Norway,2.6,2.6
262.,Nedohin/Hiebert,Alberta,2.6,2.6
263.,Barone/Nikolov,Latvia,2.6,2.6
264.,Cottrill/Cottrill,Ontario,2.6,2.6
265.,Tsuchiya/Okamura,Japan,2.6,2.6
266.,Iskiw/Hlushak,Alberta,2.6,2.6
267.,Sherry/Sherry,Illinois,2.6,2.6
268.,Howald/Lachat-Couchepin,Switzerland,2.4,2.4
269.,Fortin/Descoteaux,Quebec,2.4,2.4
270.,Rubenzer/Dobbs,Wisconsin,2.4,2.4
271.,Serra/Tompkins,Mexico,2.3,2.3
272.,Petersen/Becker,New Zealand,2.3,2.3
273.,Chaudhari/Raju,India,2.2,2.2
274.,Hallstroem/Patz,Sweden,2.1,2.1
275.,Danahey/Allain,Colorado,2.1,2.1
276.,Kiiskinen/Kiiskinen,Finland,2.1,2.1
277.,Jackson/Montgomery,Ontario,2.1,2.1
278.,Shipmaker/Shinde,Ontario,2.1,2.1
279.,Daley/Vainio,Ontario,1.9,1.9
280.,Vaydich/McMullin,North Dakota,1.9,1.9
281.,Kenney/Scimia,Connecticut,1.9,1.9
282.,Henwood/Maude,Ontario,1.9,1.9
283.,Vandenborre/Lister,New Brunswick,1.9,1.9
284.,Harrison/Allen,Ontario,1.9,1.9
285.,Walsh/Simin,California,1.9,1.9
286.,Becker/Becker,New Zealand,1.8,1.8
287.,Kinney/Walker,New Zealand,1.8,1.8
288.,Blackburn/Fortin,Quebec,1.7,1.7
289.,Taylor/Gervais,Saskatchewan,1.7,1.7
290.,Coleman/Robertson,California,1.7,1.7
291.,Sonkham/Jearateerawit,Thailand,1.7,1.7
292.,Carlson/Carlson,Wisconsin,1.7,1.7
293.,Beauchemin/Amyotte,Quebec,1.7,1.7
294.,Kim/Luu,Ontario,1.7,1.7
295.,Sobering/Sobering,Colorado,1.5,1.5
296.,Bradshaw/Kizlyk,Colorado,1.5,1.5
297.,Opel/Opel,England,1.5,1.5
298.,Hackett/Hackett,Utah,1.5,1.5
299.,Szeliga-Frynia/Szewczyk,Poland,1.5,1.5
300.,Kruzer/Gould,North Carolina,1.5,1.5
301.,Radounikli/Arampatzis,Greece,1.5,1.5
302.,Potter/Shimko,Ohio,1.5,1.5
303.,Silversides/Tessier,Saskatchewan,1.5,1.5
304.,Konkol/Zalewski,Poland,1.5,1.5
305.,Pitts/Flanagan,New Zealand,1.5,1.5
