Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,110.5,224.8
2.,Kaldvee/Lill,Estonia,50.7,188.5
3.,Skaslien/Nedregotten,Norway,70.2,168.3
4.,Koana/Aoki,Japan,81.7,159.5
5.,Dodds/Mouat,Great Britain,41.3,151.2
6.,Thiesse/Dropkin,Minnesota,71.0,142.7
7.,Matsumura/Tanida,Japan,36.0,108.9
8.,Craig/Craig,Ontario,38.1,101.8
9.,Peterman/Gallant,Alberta,0.0,96.3
10.,Westman/Ahlberg,Sweden,64.8,95.0
11.,Adams/Robichaud,New Brunswick,39.8,93.0
12.,Jones/Laing,Ontario,22.0,91.8
13.,Martin/Laycock,Saskatchewan,16.5,86.3
14.,Perret/Rios,Switzerland,26.8,83.5
15.,Abbes/Harsch,Germany,35.4,83.1
16.,Neil/McDonald,Ontario,44.9,82.5
17.,Walker/Muyres,Alberta,5.4,80.4
18.,Ye/Yu,China,77.4,77.4
19.,Anderson/Stopera,Minnesota,29.3,76.1
20.,Lott/Lott,Manitoba,0.0,75.6
21.,Kjaerland/Braenden,Norway,44.1,74.8
22.,Gray-Withers/Pietrangelo,Alberta,44.4,73.3
23.,Gionest/Desjardins,Quebec,30.8,73.0
24.,Zelingrova/Chabicovsky,Czechia,35.4,72.7
25.,Wasylkiw/Konings,Ontario,15.0,70.8
26.,Engler/Wunderlin,Switzerland,14.4,61.5
27.,Tremblay/Lanoue,Quebec,24.7,60.9
28.,Zhang/Wang,China,42.6,60.5
29.,Powers/Saunders,Nova Scotia,3.9,59.4
30.,Kim/Jeong,Korea,59.4,59.4
31.,Weeks/Steep,Ontario,25.7,57.4
32.,Ford/Campbell,Ontario,17.5,55.4
33.,Schoell/Sutor,Germany,38.1,54.7
34.,Smith/Niepage,Ontario,36.9,54.6
35.,Bouchard/Charest,Quebec,23.9,54.1
36.,Maheux/Maheux,Quebec,31.4,49.5
37.,Kim/Seong,Korea,7.5,49.3
38.,Gagne/Morissette,Quebec,15.1,46.9
39.,Walczak/Augustyniak,Poland,6.9,45.6
40.,Spruit/Spruit,Ontario,19.3,45.1
41.,Immonen/Sipila,Finland,11.9,39.5
42.,Papley/Van Amsterdam,Alberta,8.5,38.1
43.,Schwaller/Schwaller,Switzerland,23.9,37.9
44.,Brunton/Forget,Ontario,9.1,37.6
45.,Woo/Wenzek,British Columbia,19.9,37.0
46.,Nathan/Nathan,Ontario,19.7,35.6
47.,Springer/Springer,Saskatchewan,11.5,33.1
48.,Tiuliakova/Totzek,Germany,14.1,32.7
49.,Holtermann/Holtermann,Denmark,4.1,31.6
50.,Otaegi/Unanue,Spain,11.4,30.8
51.,Moores/Wheeler,Colorado,10.6,30.8
52.,Arbuckle/Macdonell,Manitoba,7.4,30.1
53.,Sanscartier/Caron,Quebec,16.5,29.4
54.,Ford/Krowchuk,Ontario,16.0,28.8
55.,Cinnamon/Tao,Alberta,15.8,27.6
56.,Paulova/Paul,Czechia,3.5,27.3
57.,Mackenzie/Middleton,British Columbia,7.2,26.4
58.,Fellmann/Kovalchuk,Quebec,5.9,25.1
59.,Cave/King,Ontario,24.7,24.7
60.,Roach/Gilbert,Ontario,10.3,24.6
61.,Burghout/Thompson,Ontario,10.8,24.5
62.,Mallett/Jackson,Ontario,16.5,23.8
63.,Ueno/Yamaguchi,Japan,20.0,23.2
64.,Ryhorchuk/Peterson,Alberta,20.1,22.7
65.,Kim/Yoo,Korea,22.0,22.0
66.,Weldon/Franey,Colorado,8.3,21.3
67.,Just/Cherpin,Saskatchewan,1.5,21.2
68.,Wynter/Sallaj,New Brunswick,15.5,21.0
69.,Marchand/Charbonneau,Quebec,18.6,20.8
70.,Johnston/Johnston,New Brunswick,17.1,20.1
71.,Bailey/Sipura,Ontario,1.8,20.1
72.,Wilson/Dow,Ontario,14.9,19.7
73.,Neary/Hancock,Newfoundland / Labrador,14.8,19.3
74.,Sengul/Cakir,Turkiye,9.4,19.2
75.,Laplante/Gibeau,Quebec,0.0,18.9
76.,Richards/Davies,Alberta,17.1,18.6
77.,Butler/Butler,Ontario,9.6,18.0
78.,Harris/Chester,British Columbia,5.1,18.0
79.,Lee/Kim,Korea,18.0,18.0
80.,Grassie/Trembath,Manitoba,14.0,17.6
81.,Trembath/Grassie,Manitoba,14.0,17.6
82.,Gaidule/Buncis,Latvia,1.7,17.4
83.,McGillivray/Cowan,British Columbia,11.1,17.1
84.,Parmiter/Burgess,New Brunswick,0.0,16.9
85.,Tanguay/Charbonneau,Quebec,14.3,16.5
86.,Klimova/Klima,Czechia,16.2,16.2
87.,Ouellet/Rousseau,Quebec,4.6,16.1
88.,Kim/Jeong,Korea,16.0,16.0
89.,Cottenoir/Martel,Quebec,6.0,15.8
90.,Ostrowski/Nickel,Minnesota,12.0,15.6
91.,Tracy/Riggs,New Brunswick,14.3,15.4
92.,Watson/Beland,New Brunswick,15.3,15.3
93.,Yarmuch/Sawiak,Alberta,11.7,15.0
94.,Senneker/Visnich,Michigan,8.6,14.7
95.,Hausstatter/Svorkmo-Lundberg,Norway,10.8,14.5
96.,Barbarin/Coulot,France,14.3,14.3
97.,Burgess/Morin,Alberta,12.7,13.8
98.,Morissette/Hudon,Quebec,12.0,13.5
99.,Lamontagne/LaMontagne,Saskatchewan,7.6,13.4
100.,Podoll/Parry,North Dakota,6.6,13.4
101.,Hagenbuch/Laufer,Illinois,9.4,13.2
102.,Kreviazuk/Mathers,Ontario,6.6,13.0
103.,Scalesse/Pimpini,Italy,3.9,12.9
104.,Robertson/Robertson,Ontario,7.9,12.4
105.,Kim/Kim,Korea,12.0,12.0
